strain	Antibiotic	Resistance.phenotype	WT_vs_nonWT	nonWT_binary	resistant	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact
NK_H13_001	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578223	SAMEA113605459	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H13_002	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578224	SAMEA113605460	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H13_004	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578226	SAMEA113605462	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H13_005	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578227	SAMEA113605463	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H13_007	ciprofloxacin	S	wt (S)	0	0	==	25	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578229	SAMEA113605465	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H13_008	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578230	SAMEA113605466	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H13_009	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578231	SAMEA113605467	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_001	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR10447212	SAMEA111533192	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_002	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578233	SAMEA113605475	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_003	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578234	SAMEA113605476	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_004	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578235	SAMEA113605477	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_005	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578236	SAMEA113605478	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_006	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578237	SAMEA113605479	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_008	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578238	SAMEA113605480	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_009	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578239	SAMEA113605481	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_010	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578240	SAMEA113605482	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_011	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578241	SAMEA113605483	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_012	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578242	SAMEA113605484	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_014	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578244	SAMEA113605486	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_015	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578245	SAMEA113605487	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_017	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578246	SAMEA113605488	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_018	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578247	SAMEA113605489	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_019	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578248	SAMEA113605490	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_020	ciprofloxacin	I	non-wt (I/R)	1	0	==	24	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578249	SAMEA113605491	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_021	ciprofloxacin	S	wt (S)	0	0	==	25	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578250	SAMEA113605247	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_022	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578251	SAMEA113605493	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_023	ciprofloxacin	I	non-wt (I/R)	1	0	==	23	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578252	SAMEA113605494	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_024	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578253	SAMEA113605495	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_025	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578254	SAMEA113605496	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_026	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578255	SAMEA113605497	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_027	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578256	SAMEA113605498	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_028	ciprofloxacin	S	wt (S)	0	0	==	25	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578257	SAMEA113605499	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_029	ciprofloxacin	R	non-wt (I/R)	1	1	==	18	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578258	SAMEA113605500	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_030	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578259	SAMEA113605501	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_031	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578260	SAMEA113605502	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_032	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578261	SAMEA113605503	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_033	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578262	SAMEA113605504	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_034	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578263	SAMEA113605505	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_036	ciprofloxacin	S	wt (S)	0	0	==	25	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578264	SAMEA113605506	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_037	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578265	SAMEA113605507	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_038	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578266	SAMEA113605508	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_039	ciprofloxacin	I	non-wt (I/R)	1	0	==	22	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578267	SAMEA113605803	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_040	ciprofloxacin	I	non-wt (I/R)	1	0	==	23	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578268	SAMEA113605262	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_041	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578269	SAMEA113605511	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_042	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578270	SAMEA113605512	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_043	ciprofloxacin	R	non-wt (I/R)	1	1	==	6	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578271	SAMEA113605523	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_044	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578272	SAMEA113605514	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_045	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578273	SAMEA113605515	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_046	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578274	SAMEA113605516	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_047	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR10447213	SAMEA111533199	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_048	ciprofloxacin	R	non-wt (I/R)	1	1	==	15	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578275	SAMEA113605517	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_049	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578276	SAMEA113605518	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_050	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578277	SAMEA113605519	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_051	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578278	SAMEA113605520	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_052	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578279	SAMEA113605521	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_054	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578280	SAMEA113605522	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_055	ciprofloxacin	R	non-wt (I/R)	1	1	==	21	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578281	SAMEA113605804	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_056	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578282	SAMEA113605524	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_057	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578283	SAMEA113605525	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_058	ciprofloxacin	I	non-wt (I/R)	1	0	==	22	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578284	SAMEA113605526	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_059	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578285	SAMEA113605527	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_060	ciprofloxacin	R	non-wt (I/R)	1	1	==	6	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578286	SAMEA113605528	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_061	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR10447214	SAMEA111533200	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_063	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578287	SAMEA113605530	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_065	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578288	SAMEA113605531	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_066	ciprofloxacin	R	non-wt (I/R)	1	1	==	6	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578289	SAMEA113605532	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_067	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578290	SAMEA113605533	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_068	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578291	SAMEA113605534	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_069	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578292	SAMEA113605535	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_071	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578293	SAMEA113605536	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_072	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578294	SAMEA113605537	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_073	ciprofloxacin	R	non-wt (I/R)	1	1	==	6	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578295	SAMEA113605900	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_075	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578297	SAMEA113605540	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_077	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578298	SAMEA113605541	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_078	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578299	SAMEA113605542	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_079	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578300	SAMEA113605543	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_080	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578301	SAMEA113605544	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_081	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578302	SAMEA113605545	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_082	ciprofloxacin	R	non-wt (I/R)	1	1	==	16	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578303	SAMEA113605546	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_083	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578304	SAMEA113605547	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_087	ciprofloxacin	I	non-wt (I/R)	1	0	==	22	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578306	SAMEA113605549	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_088	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578307	SAMEA113605550	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_090	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578308	SAMEA113605551	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_091	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578309	SAMEA113605552	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H14_092	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578310	SAMEA113605553	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_001	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578311	SAMEA113605554	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_002	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578312	SAMEA113605555	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_003	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578313	SAMEA113605556	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_004	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578314	SAMEA113605557	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_005	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578315	SAMEA113605558	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_006	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578316	SAMEA113605559	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_007	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578317	SAMEA113605560	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_008	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578318	SAMEA113605561	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_010	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578320	SAMEA113605563	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_011	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578321	SAMEA113605564	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_012	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578322	SAMEA113605565	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_014	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578323	SAMEA113605566	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_015	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578324	SAMEA113605567	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_016	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578325	SAMEA113605568	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_017	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578326	SAMEA113605569	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_018	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578327	SAMEA113605570	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_019	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578328	SAMEA113605571	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_020	ciprofloxacin	S	wt (S)	0	0	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578329	SAMEA113605572	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_021	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578330	SAMEA113605573	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_022	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578331	SAMEA113605574	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_023	ciprofloxacin	I	non-wt (I/R)	1	0	==	24	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578332	SAMEA113605860	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_024	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578333	SAMEA113605576	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
