strain	Antibiotic	Resistance.phenotype	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact	Source.Type	Host	Source.details	Infection.status	Country	City	Collection.Year
2021.TE.73017.1.7	ciprofloxacin	I	<=	0.5	mg/L	MIC (broth dilution)	EUCAST	2021	Sensititre	Biomerieux	96-Well Plate	SRR25522611	SAMN36814440	PRJNA1001640	37700864; 39053799	Alessandra Cornacchia	Food/Feed	-	Onions	Unknown	Italy	-	2020
2021.TE.73017.1.8	ciprofloxacin	I	<=	0.5	mg/L	MIC (broth dilution)	EUCAST	2021	Sensititre	Biomerieux	96-Well Plate	SRR25522610	SAMN36814441	PRJNA1001640	37700864; 39053799	Alessandra Cornacchia	Food/Feed	-	Onions	Unknown	Italy	-	2020
2021.TE.73017.1.9	ciprofloxacin	I	<=	0.5	mg/L	MIC (broth dilution)	EUCAST	2021	Sensititre	Biomerieux	96-Well Plate	SRR25522609	SAMN36814442	PRJNA1001640	37700864; 39053799	Alessandra Cornacchia	Food/Feed	-	Onions	Unknown	Italy	-	2020
KGVET-2020-01-1135	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048681	SAMN32676045	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-1138	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048680	SAMN32676046	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-126	ciprofloxacin	I	==	22	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048654	SAMN32676047	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-136-3	ciprofloxacin	S	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048643	SAMN32676048	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-176-3	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048621	SAMN32676050	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-1831-2	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048610	SAMN32676051	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-186-1	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048588	SAMN32676052	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-1861-1	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048599	SAMN32676053	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-187-3	ciprofloxacin	I	==	24	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048577	SAMN32676054	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-1914-1	ciprofloxacin	S	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048679	SAMN32676055	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-1940-1	ciprofloxacin	S	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048668	SAMN32676056	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-1982-1	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048661	SAMN32676058	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2219-2	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048655	SAMN32676064	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2264-1	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048653	SAMN32676065	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2318-1	ciprofloxacin	S	==	25	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048652	SAMN32676066	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2328-1	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048651	SAMN32676067	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2329-1	ciprofloxacin	S	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048650	SAMN32676068	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2361-1	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048649	SAMN32676070	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2363-1	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048647	SAMN32676071	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2412-1	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048646	SAMN32676072	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2414	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048645	SAMN32676073	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2496-3	ciprofloxacin	S	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048642	SAMN32676075	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2541-2	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048641	SAMN32676076	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2542-3	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048640	SAMN32676077	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2575-1	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048639	SAMN32676078	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-258-1	ciprofloxacin	I	==	24	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048638	SAMN32676079	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-259	ciprofloxacin	I	==	24	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048637	SAMN32676080	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2603-1	ciprofloxacin	S	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048636	SAMN32676081	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2661	ciprofloxacin	S	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048635	SAMN32676082	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2662-2	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048634	SAMN32676083	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2677-1	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048633	SAMN32676084	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2800-1	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048631	SAMN32676085	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2801-3	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048630	SAMN32676086	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2823-3	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048629	SAMN32676087	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2846-1	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048628	SAMN32676088	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2862-3	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048627	SAMN32676089	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2863	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048626	SAMN32676090	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2873-1	ciprofloxacin	S	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048625	SAMN32676091	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2874-1	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048624	SAMN32676092	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2955-2	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048623	SAMN32676093	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2958-1	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048622	SAMN32676094	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2959-1	ciprofloxacin	S	==	36	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048620	SAMN32676095	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3040	ciprofloxacin	S	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048617	SAMN32676098	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3042	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048616	SAMN32676099	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3113-1	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048614	SAMN32676101	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3114-1	ciprofloxacin	S	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048613	SAMN32676102	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-315-2	ciprofloxacin	S	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048612	SAMN32676103	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3208-1	ciprofloxacin	S	==	36	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048611	SAMN32676104	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3271-1	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048609	SAMN32676105	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3272	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048608	SAMN32676106	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3331-1	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048607	SAMN32676107	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-335-2	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048606	SAMN32676108	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3419	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048605	SAMN32676109	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3420-3	ciprofloxacin	S	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048604	SAMN32676110	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3421-1	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048603	SAMN32676111	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3423-3	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048602	SAMN32676112	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3500-3	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048601	SAMN32676113	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3501-1	ciprofloxacin	S	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048600	SAMN32676114	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3502-2	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048598	SAMN32676115	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3513-1	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048597	SAMN32676116	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3514	ciprofloxacin	S	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048596	SAMN32676117	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3518	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048593	SAMN32676120	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3569-2	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048592	SAMN32676121	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3720-2	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048591	SAMN32676122	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3721-3	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048590	SAMN32676123	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3775-3	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048589	SAMN32676124	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3776	ciprofloxacin	S	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048587	SAMN32676125	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3942-2	ciprofloxacin	S	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048586	SAMN32676126	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3946	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048585	SAMN32676127	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3967	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048584	SAMN32676128	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3969-2	ciprofloxacin	S	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048583	SAMN32676129	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3987-2	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048582	SAMN32676130	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3999-2	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048581	SAMN32676131	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-401-1	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048580	SAMN32676132	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-403-1	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048579	SAMN32676133	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4177	ciprofloxacin	S	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048578	SAMN32676134	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4180-1	ciprofloxacin	S	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048576	SAMN32676135	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4188-1	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048575	SAMN32676136	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4189	ciprofloxacin	S	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048574	SAMN32676137	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4249-1	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048573	SAMN32676138	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4267	ciprofloxacin	S	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048572	SAMN32676139	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4270	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048571	SAMN32676140	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4300-1	ciprofloxacin	S	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048569	SAMN32676142	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-432-2	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048568	SAMN32676143	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4327	ciprofloxacin	S	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048567	SAMN32676144	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4332	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048677	SAMN32676146	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4538-1	ciprofloxacin	S	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048676	SAMN32676147	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-4539-1	ciprofloxacin	S	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048675	SAMN32676148	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-466-1	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048674	SAMN32676149	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-468-1	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048673	SAMN32676150	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-523-1	ciprofloxacin	S	==	36	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048672	SAMN32676151	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-585-1	ciprofloxacin	S	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048671	SAMN32676152	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-620	ciprofloxacin	S	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048670	SAMN32676153	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-651	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048669	SAMN32676154	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-693-1	ciprofloxacin	S	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048667	SAMN32676155	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-768-1	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048666	SAMN32676156	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-818	ciprofloxacin	S	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048665	SAMN32676157	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-823-1	ciprofloxacin	S	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048664	SAMN32676158	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-937-1	ciprofloxacin	S	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048663	SAMN32676159	PRJNA922900	37275151	Marianne Sunde	Animal	Broiler	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-2158-1	ciprofloxacin	S	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048657	SAMN32676062	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-236-2	ciprofloxacin	S	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048648	SAMN32676069	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
KGVET-2020-01-3043-2	ciprofloxacin	S	==	33	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	SRR23048615	SAMN32676100	PRJNA922900	37275151	Marianne Sunde	Animal	Turkey	Caecal	Colonisation	Norway	-	2020
NK_H15_059	ciprofloxacin	S	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	ERR11578362	SAMEA113605605	PRJEB48268	38574775	Iren HÃÂ¸yland LÃÂ¶hr	Human	human	Blood	Infection	Norway	-	2018
NK_H22_046	ciprofloxacin	S	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	ERR11578665	SAMEA113605716	PRJEB48268	38574775	Iren HÃÂ¸yland LÃÂ¶hr	Human	human	Blood	Infection	Norway	-	2017
NK_H22_064	ciprofloxacin	R	==	10	mm	Disk diffusion	EUCAST	2023 v13.0	Manual	-	-	ERR11578680	SAMEA113605879	PRJEB48268	38574775	Iren HÃÂ¸yland LÃÂ¶hr	Human	human	Blood	Infection	Norway	-	2018
